User Pseudo Id,Cohort,Test Group,Playtime
1,D0,1,40.21589
2,D0,1,36.981745
3,D0,0,28.038631
4,D0,0,5.287124
5,D0,1,78.125694
6,D0,1,33.606985
7,D0,1,6.383921
8,D0,0,7.508841
9,D0,1,3.852851
10,D0,0,8.296285
11,D0,1,6.046445
12,D0,0,43.815634
13,D0,1,2.868546
14,D0,1,6.412044
15,D0,1,8.914991
16,D0,1,11.333569
17,D0,1,62.71429
18,D0,0,4.274696
19,D0,0,3.880974
20,D0,1,0.478091
21,D0,0,46.318581
22,D0,1,2.193594
23,D0,1,2.109225
24,D0,1,60.830049
25,D0,1,31.975851
26,D0,0,32.257081
27,D0,1,2.306086
28,D0,1,42.409484
29,D0,0,242.223399
30,D0,0,86.843824
31,D0,1,52.814994
32,D0,0,28.207369
33,D0,0,0.478091
34,D0,1,41.706409
35,D0,1,6.102691
36,D0,0,13.442794
37,D0,1,189.042806
38,D0,0,70.223131
39,D0,1,6.74952
40,D0,1,9.083729
41,D0,1,6.102691
42,D0,0,9.899296
43,D0,1,9.421205
44,D0,1,16.367586
45,D0,0,79.58809
46,D0,0,20.107945
47,D0,1,33.18514
48,D0,0,2.052979
49,D0,1,0
50,D0,1,5.821461
51,D0,0,36.700515
52,D0,1,3.149776
53,D0,0,21.65471
54,D0,0,20.192314
55,D0,0,1.884241
56,D0,1,115.726145
57,D0,1,0
58,D0,0,59.283284
59,D0,1,0
60,D0,0,8.380654
61,D0,0,98.627361
62,D0,1,35.238119
63,D0,1,20.051699
64,D0,1,2.193594
65,D0,0,91.765349
66,D0,0,90.134215
67,D0,1,28.882321
68,D0,1,13.302179
69,D0,1,3.459129
70,D0,1,6.890135
71,D0,1,59.90199
72,D0,0,1.209289
73,D0,1,159.45741
74,D0,1,4.162204
75,D0,0,1.743626
76,D0,1,24.101411
77,D0,1,128.662725
78,D0,0,161.42602
79,D0,0,6.102691
80,D0,0,48.005961
81,D0,0,33.410124
82,D0,0,42.550099
83,D0,0,57.567781
84,D0,0,2.390455
85,D0,0,3.712236
86,D0,1,33.382001
87,D0,1,15.46765
88,D0,0,0
89,D0,0,129.92826
90,D0,1,128.184634
91,D0,0,68.90135
92,D0,0,13.077195
93,D0,0,17.295645
94,D0,0,8.521269
95,D0,0,29.163551
96,D0,1,27.476171
97,D0,1,126.187901
98,D0,1,4.696541
99,D0,1,63.220504
100,D0,1,14.005254
101,D0,1,81.134855
102,D0,0,1.490519
103,D0,1,6.946381
104,D0,1,4.837156
105,D0,0,21.148496
106,D0,1,55.458556
107,D0,1,7.818194
108,D0,0,11.164831
109,D0,0,79.30686
110,D0,0,3.852851
111,D0,1,18.617426
112,D0,0,19.264255
113,D0,1,7.31198
114,D0,1,33.972584
115,D0,1,3.431006
116,D0,1,70.954329
117,D0,1,2.615439
118,D0,0,124.106799
119,D0,0,63.614226
120,D0,1,6.46829
121,D0,1,1.912364
122,D0,0,79.391229
123,D0,0,33.18514
124,D0,1,197.789059
125,D0,1,6.665151
126,D0,1,13.161564
127,D0,1,31.638375
128,D0,0,5.6246
129,D0,1,97.389949
130,D0,0,6.524536
131,D0,1,5.287124
132,D0,0,5.146509
133,D0,1,5.287124
134,D0,0,45.474891
135,D0,1,3.290391
136,D0,0,41.818901
137,D0,1,21.289111
138,D0,1,7.396349
139,D0,0,41.62204
140,D0,0,38.725371
141,D0,1,5.821461
142,D0,0,25.87316
143,D0,0,154.873361
144,D0,1,44.209356
145,D0,1,4.021589
146,D0,1,27.223064
147,D0,0,7.508841
148,D0,0,22.723384
149,D0,1,0
150,D0,0,42.943821
151,D0,0,8.914991
152,D0,1,50.565154
153,D0,0,1.68738
154,D0,1,2.868546
155,D0,1,23.257721
156,D0,0,56.246
157,D0,1,19.208009
158,D0,1,13.695901
159,D0,0,40.862719
160,D0,1,4.415311
161,D0,1,11.53043
162,D0,0,59.986359
163,D0,0,99.27419
164,D0,0,32.397696
165,D0,1,36.925499
166,D0,0,117.919739
167,D0,1,1.771749
168,D0,1,51.46509
169,D0,1,0
170,D0,1,31.975851
171,D0,1,13.020949
172,D0,0,4.021589
173,D0,1,8.661884
174,D0,0,214.156645
175,D0,1,63.27675
176,D0,0,17.098784
177,D0,0,7.818194
178,D0,0,9.646189
179,D0,1,17.661244
180,D0,0,8.521269
181,D0,0,93.705836
182,D0,0,48.09033
183,D0,0,2.109225
184,D0,1,1.68738
185,D0,0,12.711596
186,D0,1,26.15439
187,D0,0,29.669765
188,D0,1,95.533831
189,D0,0,10.827355
190,D0,0,0
191,D0,1,4.162204
192,D0,1,3.149776
193,D0,0,78.18194
194,D0,0,43.168805
195,D0,0,127.453436
196,D0,0,44.490586
197,D0,0,4.49968
198,D0,1,25.87316
199,D0,1,10.461756
200,D0,1,209.291366
201,D0,1,0.196861
202,D0,0,20.895389
203,D0,0,3.880974
204,D0,0,2.193594
205,D0,1,9.083729
206,D0,1,8.015055
207,D0,1,32.707049
208,D0,0,121.77259
209,D0,1,20.52979
210,D0,1,10.039911
211,D0,1,12.317874
212,D0,1,18.898656
213,D0,1,16.086356
214,D0,0,21.429726
215,D0,1,106.529924
216,D0,0,65.442221
217,D0,0,3.09353
218,D0,1,5.146509
219,D0,0,8.015055
220,D0,1,2.896669
221,D0,0,10.349264
222,D0,1,0.703075
223,D0,1,30.65407
224,D0,0,22.357785
225,D0,0,34.113199
226,D0,0,46.543565
227,D0,1,0.056246
228,D0,1,3.712236
229,D0,1,27.926139
230,D0,0,13.78027
231,D0,0,0
232,D0,1,9.618066
233,D0,0,2.193594
234,D0,0,25.113839
235,D0,1,212.103666
236,D0,1,30.316594
237,D0,1,1.40615
238,D0,1,35.856825
239,D0,1,0.478091
240,D0,0,48.455929
241,D0,1,5.118386
242,D0,0,5.399616
243,D0,0,28.179246
244,D0,0,202.260616
245,D0,0,95.252601
246,D0,1,42.943821
247,D0,1,3.993466
248,D0,1,82.034791
249,D0,1,9.927419
250,D0,1,75.65087
251,D0,0,153.045366
252,D0,0,46.96541
253,D0,0,66.510895
254,D0,1,4.443434
255,D0,0,1.462396
256,D0,1,42.240746
257,D0,1,15.973864
258,D0,0,4.921525
259,D0,0,5.90583
260,D0,0,0.056246
261,D0,0,15.74888
262,D0,1,105.658111
263,D0,1,5.202755
264,D0,0,9.139975
265,D0,0,1.265535
